발전소명,발전원,연료,형식,발전회사,소재지,용량_MW,준공,상태,대수,단위용량,보일러제작사,터빈제작사,발전기제작사,정격전압,용도별,회원,시장,급전
안동소수력,수력,소수력,소수력,수자원공사,경북 안동시 성곡동,1,2003.9,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
정선(봉정),수력,소수력,소수력,㈜정선소수력,강원 정선군 북면,1,1993.5,운영중,1,1 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
반변,수력,소수력,소수력,수자원공사,경북 안동시 임하면,1,1996.10,운영중,1,1 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
자월도,내연력,경유,내연,한국전력,인천 옹진군 자월면 자월리,1,"1993.1, 2004.9",운영중,4,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
영천,수력,소수력,소수력,수자원공사,경북 영천시 임고면,1,2001.8,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
극동,수력,소수력,소수력,극동소수력,전북 정읍시 산외면,1,2011.8,운영중,1,1 MW,-,Ossberger,Ossberger,-,신재생,정회원,시장,비중앙
금강,수력,소수력,소수력,㈜크린에너지,충북 옥천군 동이면,1,1988.3,운영중,1,1 MW,-,ACEC,현대중공업,-,신재생,정회원,시장,비중앙
섬진강댐,수력,소수력,소수력,수자원공사,전북 임실군 강진면,1,2016.7,운영중,1,1 MW,-,GEA,효성,-,신재생,정회원,시장,비중앙
담양,수력,소수력,소수력,농어촌공사,전남 담양군 금성면,1,2007.5,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
서리보,수력,소수력,소수력,인제군청,강원 인제군 기린면,1,2010.10,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
죽산보,수력,소수력,소수력,수자원공사,전북 나주시 다시면,1,2011.12,운영중,1,1 MW,-,Gugler,현대중공업,-,신재생,정회원,시장,비중앙
밀양,수력,소수력,소수력,수자원공사,경남 밀양시 산외면,1,2001.10,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
동화댐,수력,소수력,소수력,농어촌공사,전북 장수군 번안면,1,2005.5,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
가거도,내연력,경유,내연,한국전력,전남 신안군 흑산면 가거도리,1,"2004.8, 2009.9",운영중,4,0 MW,-,STX,보국전기,-,사업용,비회원,시장외,비중앙
임기,수력,소수력,소수력,대동기업㈜,경북 봉화군 소천면,1,1986.8,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
합천2수력,수력,소수력,소수력,수자원공사,경남 합천군 용주면,1,2017.12,운영중,1,1 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
어청도,내연력,경유,내연,한국전력,전북 군산시 옥도면 어청도리,1,"1994.2, 2007.7, 2012.8",운영중,5,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
개야도,내연력,경유,내연,한국전력,전북 군산시 옥도면 개야도리,1,"1994.3, 2006.9",운영중,4,0 MW,-,쌍용 NIIGATA,현대중전기,-,사업용,비회원,시장외,비중앙
삽시도,내연력,경유,내연,한국전력,충남 보령시 오천면 삽시도리,1,"1993.2, 2006.9",운영중,4,0 MW,-,쌍용중공업,현대중공업,-,사업용,비회원,시장외,비중앙
보성,수력,소수력,소수력,대한수력발전(주),전남 보성군 득량면,1,2009.5,운영중,1,1 MW,-,-,-,-,신재생,정회원,시장,비중앙
횡성,수력,소수력,소수력,수자원공사,강원 횡성군 갑천면,1,2000.8,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
승봉도,내연력,경유,내연,한국전력,인천 옹진군 자월면,1,"1994.12, 2004.7, 2008.1",운영중,6,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
고문,수력,소수력,소수력,신에너지㈜,경기 연천군 연천읍,1,2007.8,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
한국해양울돌목조류,수력,해양에너지,신재생,한국해양과학기술원,전남 진도군 군내면,1,2009.5,운영중,1,1 MW,-,-,-,-,신재생,정회원,시장,비중앙
양양소수력,수력,소수력,소수력,한수원,강원 양양군 서면,1,2005.8,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
동화정수장,수력,소수력,소수력,수자원공사,전북 장수군 번암면,0,2015.10,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
득량도,내연력,경유,내연,한국전력,전남 고흥군 도양읍,0,1994.6,운영중,3,0 MW,-,쌍용 NIIGATA,현대중전기,-,사업용,비회원,시장외,비중앙
달방,수력,소수력,소수력,수자원공사,강원 동해시 이로동,0,2007.2,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
덕남정수장,수력,소수력,소수력,GS 파워㈜,광주 남구 덕남1길,0,2014.5,운영중,1,0 MW,-,대양수력,효성중공업,-,신재생,정회원,시장,비중앙
대곡,수력,소수력,소수력,수자원공사,울산 울주군 두동면,0,2005.6,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
동상,수력,소수력,소수력,농어촌공사,전북 완주군 동상면,0,2012.10,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
독거도,내연력,경유,내연,한국전력,전남 진도군 조도면,0,"2004.11, 2010.10",운영중,3,0 MW,-,STX(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
대청댐#1,수력,소수력,소수력,수자원공사,충북 청원군 현도면,0,2008.6,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
대청댐2,수력,소수력,소수력,수자원공사,충북 청주시 상당구,0,2017.12,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
녹도,내연력,경유,내연,한국전력,충남 보령시 오천면,0,"1996.1, 2011.5",운영중,3,0 MW,-,두산 LISTERPETTER,보국전기,-,사업용,비회원,시장외,비중앙
덕우도,내연력,경유,내연,한국전력,전남 완도군 생일면 봉선리,0,"1996.5, 2000.10",운영중,4,0 MW,-,RISTERPETTER 대우,보국전기,-,사업용,비회원,시장외,비중앙
농어촌공사,수력,소수력,소수력,농어촌공사,충남 보령시 죽정동,0,2010.10,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
구자도,내연력,경유,내연,한국전력,전남 진도군 의신면,0,2007.4,운영중,3,0 MW,-,STX(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
노량진,수력,소수력,소수력,서울시상하수도,서울 동작구 노량진동,0,2013.12,운영중,1,0 MW,-,ANDRITZ,SIEMENS,-,신재생,비회원,시장외,비중앙
낙월도,내연력,경유,내연,한국전력,전남 영광군 낙월면,0,1994.5,운영중,3,0 MW,-,쌍용 NIIGATA,현대중전기,-,사업용,비회원,시장외,비중앙
횡성댐2,수력,소수력,소수력,수자원공사,강원 횡성군 갑천면,0,2011.1,운영중,1,0 MW,-,Ossberger,효성중공업,-,신재생,정회원,시장,비중앙
회동댐,수력,소수력,소수력,-,부산 금정구 회동동,0,2012.12,운영중,1,0 MW,-,일진전기,일진전기,-,신재생,비회원,시장외,비중앙
가북,수력,소수력,소수력,농어촌공사,경남 거창군 가북면,0,2014.4,운영중,1,0 MW,-,대양수력,일진전기,-,신재생,정회원,시장,비중앙
화도,내연력,경유,내연,한국전력,전남 고흥군 도양읍,0,"2002.02, 2007.07, 2010.10",운영중,3,0 MW,-,두산중공업,보국전기,-,사업용,비회원,시장외,비중앙
홍익동진,수력,소수력,소수력,㈜홍익이앤알,전북 정읍시 칠보면,0,2008.6,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
호도,내연력,경유,내연,한국전력,충남 보령시 오천면,0,1997.7,운영중,3,0 MW,-,쌍용(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
가의도,내연력,경유,내연,한국전력,충남 태안군 근흥면 가의도리,0,1996.7,운영중,3,0 MW,-,쌍용 CUMMINS,현대전기,-,사업용,비회원,시장외,비중앙
가파도,내연력,경유,내연,한국전력,제주 서귀포시 대정읍 가파리,0,1993.2,운영중,3,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
행원,수력,소수력,소수력,남부발전,제주 제주시 구좌읍,0,2010.11,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
강림,수력,소수력,소수력,한수원,강원 평창군 도암면(남한강지류 주천강),0,1978.5,운영중,1,0 MW,-,효성중공업,효성중공업,-,신재생,정회원,시장,비중앙
개취보,수력,소수력,소수력,산청군,경남 산청군 금서면,0,2013.8,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
경천#1,수력,소수력,소수력,농어촌공사,경북 문경시 동로면,0,1995.6,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
경천지구,수력,소수력,소수력,농어촌공사,전북 완주군 경천면,0,2008.12,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
고대도,내연력,경유,내연,한국전력,충남 보령시 오천면,0,1996.4,운영중,3,0 MW,-,쌍용(CUMMINS),현대중전기,-,사업용,비회원,시장외,비중앙
고산,수력,소수력,소수력,수자원공사,대구 수성구 노변동,0,2009.12,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
고수,수력,소수력,소수력,농어촌공사,전북 고창군 고창읍,0,2018.1,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
광주호,수력,소수력,소수력,농어촌공사,전남 담양군 고서면,0,2013.1,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
광천,수력,소수력,소수력,수자원공사,전남 순천시 주암면,0,1992.1,운영중,1,0 MW,-,Dependable(캐),Dependable(캐),-,신재생,정회원,시장,비중앙
하동호,수력,소수력,소수력,농어촌공사,전남 하동군 청암면,0,2006.6,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
구만,수력,소수력,소수력,농어촌공사,전남 구례군 광의면,0,2014.5,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
매물도,내연력,경유,내연,한국전력,경남 통영시 한산면,0,1994.3,운영중,3,0 MW,-,광양 YANMAR,보국전기,-,사업용,비회원,시장외,비중앙
군위댐,수력,소수력,소수력,수자원공사,경북 군위군 고로면,0,2010.10,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
궁평,수력,소수력,소수력,-,충남 아산시 송악면,0,2012.10,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
극동제2,수력,소수력,소수력,(유)극동제2소수력발전소,전북 정읍시 산외면,0,2013.4,운영중,1,0 MW,-,중경화소수력,중경샤이리멍,-,신재생,정회원,시장,비중앙
금계,수력,소수력,소수력,농어촌공사,경북 영주시 풍기읍,0,2014.4,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,비회원,시장외,비중앙
풍도,내연력,경유,내연,한국전력,경기 안산시 단원구 풍도동,0,1996.8,운영중,3,0 MW,-,쌍용 CUMMINS,현대전기,-,사업용,비회원,시장외,비중앙
낙덕,수력,소수력,소수력,농어촌공사,전북 순창군 복흥면,0,2014.4,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,비회원,시장외,비중앙
마라도,내연력,경유,내연,한국전력,제주 서귀포시 대정읍,0,"2011.11, 2013.6",운영중,3,0 MW,-,두산중공업,유엔테크,-,사업용,비회원,시장외,비중앙
외연도,내연력,경유,내연,한국전력,충남 보령시 오천면 외연도리,0,"1994.8, 2004.7",운영중,4,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
평도,내연력,경유,내연,한국전력,전남 여수시 삼산면,0,2005.10,운영중,3,0 MW,-,쌍용(Niigata),현대,-,사업용,비회원,시장외,비중앙
시산도,내연력,경유,내연,한국전력,전남 고흥군 도양읍,0,1994.8,운영중,3,0 MW,-,쌍용 NIIGATA,현대중전기,-,사업용,비회원,시장외,비중앙
어승생,수력,소수력,소수력,제주도청,제주 제주시 해안동,0,2020.8,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
어룡도,내연력,경유,내연,한국전력,전남 완도군 노화읍,0,2006.12,운영중,3,0 MW,-,(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
양양양수신소수력,수력,소수력,소수력,한수원,충북 단양군 단성면,0,2020.12,운영중,1,0 MW,-,금성E&C,금성E&C,-,신재생,정회원,시장,비중앙
율현,수력,소수력,소수력,농어촌공사,경남 산청군 신동면,0,2008.10,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
읍애,수력,소수력,소수력,수자원공사,충북 단양군 단성면,0,2020.12,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
안계,수력,소수력,소수력,수자원공사,경북 경주시 강동면,0,2013.2,운영중,1,0 MW,-,ossberger,효성중공업,-,신재생,정회원,시장,비중앙
승촌보,수력,소수력,소수력,수자원공사,광주 남구 승천동,0,2011.12,운영중,1,0 MW,-,Mavel,효성중공업,-,신재생,정회원,시장,비중앙
여서도,내연력,경유,내연,한국전력,전남 완도군 청산면 여서리,0,1996.7,운영중,3,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
슬도,내연력,경유,내연,한국전력,전남 진도군 조도면,0,2006.11,운영중,3,0 MW,-,STX(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
수우도,내연력,경유,내연,한국전력,경남 통영시 사량면,0,"1996.6, 2008.6",운영중,3,0 MW,-,쌍용(CUMMINS),현대중전기,-,사업용,비회원,시장외,비중앙
송이도,내연력,경유,내연,한국전력,전남 영광군 낙월면,0,"1996.1, 2011.5",운영중,3,0 MW,-,LISTERPETTER 대우중공업 두산인프라코어,보국전기,-,사업용,비회원,시장외,비중앙
솔향강릉,수력,소수력,소수력,-,강원 강릉시 홍제동,0,2011.12,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
손죽도,내연력,경유,내연,한국전력,전남 여수시 삼산면,0,1994.6,운영중,3,0 MW,-,쌍용(Niigata),현대,-,사업용,비회원,시장외,비중앙
일산정수장,수력,소수력,소수력,수자원공사,경기 고양시 덕양구,0,2017.6,운영중,1,0 MW,-,구글러,효성,-,신재생,정회원,시장,비중앙
어의도,내연력,경유,내연,한국전력,경남 통영시 용남면,0,1996.1,운영중,3,0 MW,-,LISTER PETTER,보국전기,-,사업용,비회원,시장외,비중앙
원통보,수력,소수력,소수력,인제군청,강원 인제군 북면,0,2011.8,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
맹동,수력,소수력,소수력,한국농어촌공사,충북 음성군 맹동면,0,2016.4,운영중,1,0 MW,-,금성 ENC,금성 ENC,-,신재생,정회원,시장,비중앙
왕등도,내연력,경유,내연,한국전력,전남 부안군 위도면,0,2006.4,운영중,3,0 MW,-,CUMMINS,보국전기,-,사업용,비회원,시장외,비중앙
용담고산#1,수력,소수력,소수력,수자원공사,전북 완주군 고산면,0,2016.7,운영중,1,0 MW,-,WKV,한성중공업,-,신재생,정회원,시장,비중앙
용림,수력,소수력,소수력,농어촌공사,전북 장수군 장수읍,0,2011.12,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
용연 정수장,수력,소수력,소수력,GS 파워㈜,광주 동구 용연동,0,2016.6,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
운문,수력,소수력,소수력,수자원공사,경북 청도군 운문면,0,1998.10,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
운서보,수력,소수력,소수력,함양군청,경남 함양군 휴천면,0,2014.9,운영중,1,0 MW,-,Tink,Marelli,-,신재생,정회원,시장,비중앙
울도,내연력,경유,내연,한국전력,인천 옹진군 덕적면,0,2003.3,운영중,3,0 MW,-,현대중공업,보국전기,-,사업용,비회원,시장외,비중앙
오봉지구,수력,소수력,소수력,-,강원 강릉시 성산면,0,2012.6,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
원정수,수력,소수력,소수력,㈜포스코,전남 광양시 금호동,0,2007.5,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
예천양수,수력,소수력,소수력,한수원,경북 예천군 은풍면,0,2018.8,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
예천소수력,수력,소수력,소수력,한수원,경북 예천군,0,2011.12,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
예당,수력,소수력,소수력,-,충남 예산군 응봉면,0,2012.10,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
영산도,내연력,경유,내연,한국전력,전남 신안군 흑산면,0,2015.11,운영중,3,0 MW,-,CUMMINS,현대중공업,-,사업용,비회원,시장외,비중앙
연도,내연력,경유,내연,한국전력,전북 군산시 옥도면 연도리,0,"1996.4, 2011.5",운영중,3,0 MW,-,RISTERPETTER,보국전기,-,사업용,비회원,시장외,비중앙
여자도,내연력,경유,내연,한국전력,전남 여수시 화정면,0,1994.4,운영중,3,0 MW,-,쌍용 NIIGATA,현대중전기,-,사업용,비회원,시장외,비중앙
소연평도,내연력,경유,내연,한국전력,인천 웅진군 연평면,0,2002.12,운영중,3,0 MW,-,CUMMINS,보국전기,-,사업용,비회원,시장외,비중앙
자인정,수력,소수력,소수력,수자원공사,경북 경산시 자인면,0,2012.12,운영중,1,0 MW,-,대양수력,효성중공업,-,신재생,정회원,시장,비중앙
장고도,내연력,경유,내연,한국전력,충남 보령시 오천면,0,1996.1,운영중,3,0 MW,-,쌍용(CUMMINS),현대중전기,-,사업용,비회원,시장외,비중앙
보령,수력,소수력,소수력,수자원공사,충남 보령시 미산면,0,"1997.12, 1999.3",운영중,2,0 MW,-,Dependable(캐),Marathon(미),-,신재생,정회원,시장,비중앙
부항댐,수력,소수력,소수력,수자원공사,경북 김천시 지례면,0,2013.10,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
부안,수력,소수력,소수력,수자원공사,전북 부안군 변산면,0,1998.6,운영중,1,0 MW,-,Dependable(캐),Marathon(미),-,신재생,정회원,시장,비중앙
탑정,수력,소수력,소수력,탑정,충남 논산시 부적면,0,2010.10,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
보현산댐,수력,소수력,소수력,수자원공사,경북 영천시 화북면,0,2017.5,운영중,1,0 MW,-,-,-,-,신재생,정회원,시장,비중앙
보청,수력,소수력,소수력,희도전력㈜,충북 보은군 수한면,0,2016.5,운영중,1,0 MW,-,TINK,MARELLI,-,신재생,정회원,시장,비중앙
외도,내연력,경유,내연,한국전력,충남 태안군 안면읍,0,2015.11,운영중,3,0 MW,-,CUMMINS,보국전기,-,사업용,비회원,시장외,비중앙
백운제#1,수력,소수력,소수력,농어촌공사,전남 광양시 지실길,0,2014.5,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
장흥,수력,소수력,소수력,수자원공사,전남 장흥군 부산면,0,2005.2,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
백곡,수력,소수력,소수력,농어촌공사,충북 진천군 진천읍,0,2007.5,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
토평,수력,소수력,소수력,한수원,경기 구리시 수택동,0,2011.12,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
물야,수력,소수력,소수력,-,경북 봉화군 물야면,0,2011.12,운영중,1,0 MW,-,-,-,-,신재생,비회원,시장외,비중앙
문갑도,내연력,경유,내연,한국전력,인천 옹진군 덕적면,0,2004.1,운영중,3,0 MW,-,쌍용(CUMMINS),현대중전기,-,사업용,비회원,시장외,비중앙
판교가압장,수력,소수력,소수력,수자원공사,경기 성남시 분당구,0,2011.8,운영중,1,0 MW,-,Gugler,효성중공업,-,신재생,정회원,시장,비중앙
무주소수력,수력,소수력,소수력,한수원,전북 무주군 적상면,0,2003.4,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
비안도,내연력,경유,내연,한국전력,전북 군산시 옥도면 비안도리,0,1994.3,운영중,3,0 MW,-,광양중공업,보국전기,-,사업용,비회원,시장외,비중앙
비양도,내연력,경유,내연,한국전력,제주 제주시 한림읍 협재리,0,1996.4,운영중,3,0 MW,-,RISTERPETTER,보국전기,-,사업용,비회원,시장외,비중앙
산내,수력,소수력,소수력,산내소수력발전소,전북 남원시 산내면,0,1989.9,운영중,1,0 MW,-,British Columbia,이천전기,-,신재생,정회원,시장,비중앙
추산,수력,소수력,소수력,한국전력,경북 울릉군 북면(나리분지수원지 용출소),0,"1969.5, 1978.6",운영중,2,0 MW,-,KAWASAKI,이천전기,-,신재생,비회원,시장외,비중앙
추도,내연력,경유,내연,한국전력,경남 통영시 산양읍,0,1994.2,운영중,3,0 MW,-,광양 YANMAR,보국전기,-,사업용,비회원,시장외,비중앙
초도,내연력,경유,내연,한국전력,전남 여수시 삼산면,0,1992.5,운영중,3,0 MW,-,쌍용(Niigata),현대,-,사업용,비회원,시장외,비중앙
산청소수력*,수력,소수력,소수력,한수원,경남 산청군 시천면,0,"2001.12, 2010.11",운영중,2,0 MW,-,두산중공업,두산중공업,-,신재생,정회원,시장,비중앙
죽전,수력,소수력,소수력,농어촌공사,경남 합천군 가야면,0,2014.6,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
주암 역조정지댐,수력,소수력,소수력,수자원공사,전남 순천시 상사면,0,2012.11,운영중,1,0 MW,-,금성E&C,현대중공업,-,신재생,정회원,시장,비중앙
삿갓보,수력,소수력,소수력,농어촌공사,전북 정읍시 응동면,0,2011.8,운영중,1,0 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
상화도,내연력,경유,내연,한국전력,전남 여수시 화정면,0,"2006.12, 2006.7, 2008.12",운영중,3,0 MW,-,두산중공업,보국전기,-,사업용,비회원,시장외,비중앙
서포,수력,소수력,소수력,농어촌공사,전북 군산시 개정면,0,2014.9,운영중,1,0 MW,-,금성E&C,한성중공업,-,신재생,정회원,시장,비중앙
성남,수력,소수력,소수력,수자원공사,경기 성남시 수정구,0,2004.2,운영중,1,0 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
성남 제2소수력,수력,소수력,소수력,수자원공사,경기 성남시 수정구,0,2008.12,운영중,1,0 MW,-,신한정공,효성중공업,-,신재생,정회원,시장,비중앙
성남도,내연력,경유,내연,한국전력,전남 진도군 조도면,0,"2004.12, 2010.4",운영중,3,0 MW,-,STX(CUMMINS),보국전기,-,사업용,비회원,시장외,비중앙
성덕댐,수력,소수력,소수력,수자원공사,경북 청송군 안덕면,0,2014.9,운영중,1,0 MW,-,GEA,ADDA,-,신재생,정회원,시장,비중앙
정우#2,수력,소수력,소수력,농어촌공사,전북 정읍시 정우면,0,2013.7,운영중,1,0 MW,-,금성E&C,일진전기,-,신재생,정회원,시장,비중앙
KC하이드로,수력,소수력,소수력,KC하이드로㈜,제주 제주시 한경면,0,2013.5,운영중,1,0 MW,-,Ellaf,Ellaf,-,신재생,정회원,시장,비중앙
